advertiser,media_type,year,amount_usd,status,source
TELEVICENTRO,radio,2026,41186.64,pendiente,Monitoreo de medios - consolidado 2026
TELEVICENTRO,tv_abierta,2026,2538139.34,pendiente,Monitoreo de medios - consolidado 2026
TELEVICENTRO,tv_paga,2026,6.42,pendiente,Monitoreo de medios - consolidado 2026
TELESISTEMA,radio,2026,53411.35,pendiente,Monitoreo de medios - consolidado 2026
TELESISTEMA,tv_abierta,2026,1684080.67,pendiente,Monitoreo de medios - consolidado 2026
ECUAVISA,revistas,2026,23806.28,pendiente,Monitoreo de medios - consolidado 2026
ECUAVISA,tv_abierta,2026,4156898.29,pendiente,Monitoreo de medios - consolidado 2026
ECUAVISA,tv_paga,2026,373.98,pendiente,Monitoreo de medios - consolidado 2026
GENOMMA LAB.,sitios_apps,2026,8199.9,pendiente,Monitoreo de medios - consolidado 2026
GENOMMA LAB.,radio,2026,21.32,pendiente,Monitoreo de medios - consolidado 2026
GENOMMA LAB.,revistas,2026,22191.1,pendiente,Monitoreo de medios - consolidado 2026
GENOMMA LAB.,tv_abierta,2026,3566927.69,pendiente,Monitoreo de medios - consolidado 2026
GENOMMA LAB.,tv_paga,2026,0.72,pendiente,Monitoreo de medios - consolidado 2026
NOVUNTED S.A.,sitios_apps,2026,109642.45,pendiente,Monitoreo de medios - consolidado 2026
NOVUNTED S.A.,tv_abierta,2026,2480227.65,pendiente,Monitoreo de medios - consolidado 2026
AMERICAN NATURAL,sitios_apps,2026,113714.1,pendiente,Monitoreo de medios - consolidado 2026
AMERICAN NATURAL,radio,2026,1964.28,pendiente,Monitoreo de medios - consolidado 2026
AMERICAN NATURAL,tv_abierta,2026,2383445.47,pendiente,Monitoreo de medios - consolidado 2026
TELEVISORA DEL PACIFICO (GAMAVISION),tv_abierta,2026,995112.98,pendiente,Monitoreo de medios - consolidado 2026
CRATEL/TELEAMAZONAS,radio,2026,17774.42,pendiente,Monitoreo de medios - consolidado 2026
CRATEL/TELEAMAZONAS,revistas,2026,12033.45,pendiente,Monitoreo de medios - consolidado 2026
CRATEL/TELEAMAZONAS,tv_abierta,2026,3201427.21,pendiente,Monitoreo de medios - consolidado 2026
TC TELEVISION,radio,2026,129.95,pendiente,Monitoreo de medios - consolidado 2026
TC TELEVISION,tv_abierta,2026,2649020.64,pendiente,Monitoreo de medios - consolidado 2026
TC TELEVISION,tv_paga,2026,16031.23,pendiente,Monitoreo de medios - consolidado 2026
CONECEL,sitios_apps,2026,204912.06,pendiente,Monitoreo de medios - consolidado 2026
CONECEL,prensa,2026,58280.66,pendiente,Monitoreo de medios - consolidado 2026
CONECEL,radio,2026,88474.73,pendiente,Monitoreo de medios - consolidado 2026
CONECEL,revistas,2026,10270.26,pendiente,Monitoreo de medios - consolidado 2026
CONECEL,tv_abierta,2026,1414601.53,pendiente,Monitoreo de medios - consolidado 2026
CONECEL,tv_paga,2026,22171.65,pendiente,Monitoreo de medios - consolidado 2026
BANCO PICHINCHA,sitios_apps,2026,347113.69,pendiente,Monitoreo de medios - consolidado 2026
BANCO PICHINCHA,prensa,2026,113695.32,pendiente,Monitoreo de medios - consolidado 2026
BANCO PICHINCHA,radio,2026,143195.7,pendiente,Monitoreo de medios - consolidado 2026
BANCO PICHINCHA,revistas,2026,17361.63,pendiente,Monitoreo de medios - consolidado 2026
BANCO PICHINCHA,otros,2026,5410.34,pendiente,Monitoreo de medios - consolidado 2026
